"rn"	"deg.mb"	"bet.mb"	"clo.mb"	"eig.mb.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"65"	"BASV186"	10	166.801750086623	0.000640614990390775	0.452502534253885	0.452502534253885	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	"ramosus"
"66"	"BASV188"	17	1394.86607857617	0.000791139240506329	0.853014000901546	0.853014000901546	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"timonae"
"67"	"BASV1891"	9	605.261667704193	0.000681663258350375	0.148350518554131	0.148350518554131	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Cohnella"	"arctica"
"68"	"BASV1998"	10	571.641162447111	0.00073909830007391	0.419800815386134	0.419800815386134	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"eurypsychrophila"
"69"	"BASV200"	9	478.695181350976	0.000689655172413793	0.310255126947178	0.310255126947178	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Cellvibrionaceae"	"Cellvibrio"	"fibrivorans"
"70"	"BASV2005"	12	588.656588706269	0.000715307582260372	0.485574732615525	0.485574732615525	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"humi"
"71"	"BASV201"	8	146.486396651339	0.000672043010752688	0.311831483842324	0.311831483842324	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"pocheonensis"
"72"	"BASV2016"	5	66.7354205834756	0.000663129973474801	0.21650635122252	0.21650635122252	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Aureimonas"	"glaciei"
"73"	"BASV2064"	10	486.444642506634	0.000662251655629139	0.166242504553904	0.166242504553904	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Flavisolibacter"	"ginsengiterrae"
"74"	"BASV210"	10	354.524500047619	0.000695410292072323	0.241004819617794	0.241004819617794	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Porphyrobacter"	"tepidarius"
"75"	"BASV2116"	11	496.150345885068	0.000723065798987708	0.404576206920935	0.404576206920934	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Pseudoduganella"	"eburnea"
"76"	"BASV2185"	11	512.997846024089	0.000659630606860158	0.175092508561289	0.175092508561288	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"	"aerolatus"
"77"	"BASV2198"	10	665.712128624763	0.000751314800901578	0.311428318286594	0.311428318286594	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"caricicola"
"78"	"BASV22058"	4	130.282226512355	0.000629326620516048	0.0745353585255578	0.0745353585255577	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Thauera"	"phenylacetica"
"79"	"BASV2214"	8	228.060649724684	0.000685400959561343	0.263423320892125	0.263423320892125	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"nyackensis"
"80"	"BASV2264"	9	390.076099485334	0.000713775874375446	0.281737982775749	0.281737982775749	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"kaistensis"
"81"	"BASV2290"	11	505.349655137828	0.00072463768115942	0.346077617391418	0.346077617391418	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"alaniniphila"
"82"	"BASV2293"	11	347.225973836012	0.000728332119446468	0.565139638065544	0.565139638065544	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Dyadobacter"	"alkalitolerans"
"83"	"BASV230"	7	228.605897755529	0.00069060773480663	0.248263453207237	0.248263453207237	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"mucosissima"
"84"	"BASV2306"	13	708.172801979102	0.000730994152046784	0.336087464644154	0.336087464644153	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Lysinibacillus"	"massiliensis"
"85"	"BASV232"	14	454.683189604476	0.00070323488045007	0.735828676180211	0.735828676180211	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"ginsengisoli"
"86"	"BASV2333"	7	486.391199267576	0.000679347826086957	0.139878048381464	0.139878048381464	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"luteus"
"87"	"BASV236"	10	179.881846701212	0.000653167864141084	0.463857447532257	0.463857447532257	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"longiquaesitum"
"88"	"BASV2364"	11	449.92445984577	0.000710732054015636	0.311817348880587	0.311817348880587	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Glycomycetales"	"Glycomycetaceae"	"Glycomyces"	"scopariae"
"89"	"BASV2392"	16	1712.80788811621	0.000743494423791822	0.315187155757778	0.315187155757778	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"yanoikuyae"
"90"	"BASV2496"	12	904.019346917042	0.000764525993883792	0.539377312922662	0.539377312922662	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"staleyi"
"91"	"BASV250"	15	1142.74171490729	0.000770416024653313	0.798697612644071	0.798697612644071	"Bacteria"	"Other"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"	"gellanilyticus"
"92"	"BASV2512"	13	728.242833168369	0.000749063670411985	0.420961003062741	0.42096100306274	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"ginsengisegetis"
"93"	"BASV2534"	7	461.760392747466	0.000694444444444444	0.159870279676885	0.159870279676885	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"italicus"
"94"	"BASV2584"	6	321.567672630042	0.000683060109289617	0.121292430943625	0.121292430943625	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"lacus"
"95"	"BASV260"	11	419.793873821088	0.000718390804597701	0.693082571411037	0.693082571411038	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Blastococcus"	"colisei"
"96"	"BASV2617"	10	434.776756967217	0.000654878847413229	0.156395734154003	0.156395734154003	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	"tritici"
"97"	"BASV262"	10	637.969144694378	0.000729394602479942	0.498154578176977	0.498154578176977	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Marmoricola"	"pocheonensis"
"98"	"BASV2646"	7	177.148680598694	0.000680272108843537	0.16667971242532	0.16667971242532	"Bacteria"	"Other"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Stenotrophobacter"	"namibiensis"
"99"	"BASV267"	10	384.746344740381	0.000683994528043776	0.362324164605462	0.362324164605461	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	"neptuniae"
"100"	"BASV269"	11	242.70850269143	0.000679347826086957	0.686161528710061	0.68616152871006	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"	"terrae"
"101"	"BASV2697"	12	277.243755136542	0.000666666666666667	0.564945868398637	0.564945868398637	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"digitatis"
"102"	"BASV27"	9	162.331869103663	0.000644329896907216	0.498533817828752	0.498533817828752	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"alpinus"
"103"	"BASV273"	9	295.93784597113	0.000710227272727273	0.31389749726698	0.31389749726698	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Afipia"	"massiliensis"
"104"	"BASV2769"	15	1557.50888462517	0.0008058017727639	0.640194876870765	0.640194876870764	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Aminobacter"	"anthyllidis"
"105"	"BASV2773"	10	292.992015446285	0.000713266761768902	0.361724183289346	0.361724183289345	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"	"soli"
"106"	"BASV280"	12	332.132617247462	0.00068073519400953	0.645687899448229	0.645687899448229	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Nakamurellaceae"	"Nakamurella"	"multipartita"
"107"	"BASV2842"	15	1645.34429756715	0.000769230769230769	0.3802988426264	0.3802988426264	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"ginsenosidimutans"
"108"	"BASV285"	9	531.719968993532	0.000665335994677312	0.133409015046232	0.133409015046232	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"lindaniclasticus"
"109"	"BASV2861"	10	1179.62850891298	0.00078125	0.358442246954069	0.358442246954069	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"	"agglomerans"
"110"	"BASV2911"	11	1060.75702916919	0.000744047619047619	0.299111448620946	0.299111448620946	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	"palleronii"
"111"	"BASV2912"	8	337.667991198761	0.000722543352601156	0.38292428020141	0.38292428020141	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"fusiformis"
"112"	"BASV2930"	14	1333.94308071235	0.00074794315632012	0.341835933570169	0.341835933570168	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"starnbergensis"
"113"	"BASV2935"	7	81.5456849722901	0.000591715976331361	0.0885202917450044	0.0885202917450041	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharomonospora"	"viridis"
"114"	"BASV294"	9	280.551483609657	0.000647249190938511	0.429310804067714	0.429310804067714	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	"iriomotensis"
"115"	"BASV295"	7	68.221036613578	0.000631711939355654	0.34269764204742	0.34269764204742	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"ailaonensis"
"116"	"BASV2984"	13	1054.71196913074	0.000777604976671851	0.557488410297467	0.557488410297467	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"	"metalli"
"117"	"BASV3008"	9	333.271412523465	0.000718907260963336	0.262501094452072	0.262501094452071	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Plantactinospora"	"endophytica"
"118"	"BASV3020"	12	681.288555568984	0.000717360114777618	0.479742224460161	0.479742224460161	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Dyadobacter"	"beijingensis"
"119"	"BASV3024"	12	743.693766626677	0.000679347826086957	0.225901122324731	0.225901122324731	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"alkalitolerans"
"120"	"BASV3030"	8	518.934455705464	0.000703729767769177	0.193014949940612	0.193014949940612	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Nitrosomonadaceae"	"Nitrosospira"	"multiformis"
