"rn"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"19"	"FASV2088"	3	0.5	0.0196078431372549	0.217950409291872	0.217950409291872	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Phoma"	"schachtii"
"20"	"FASV349"	4	1.33333333333333	0.02	0.268819389703686	0.268819389703686	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Stachybotryaceae"	"Albifimbria"	"verrucaria"
"21"	"FASV35"	4	0.833333333333333	0.02	0.297645946341134	0.297645946341134	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"subcucurbitae"
"22"	"FASV40"	3	0.5	0.0196078431372549	0.213363790736409	0.213363790736409	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"chlamydosporum"
"23"	"FASV410"	2	0	0.0192307692307692	0.174300095735074	0.174300095735074	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Nectria"	"ramulariae"
"24"	"FASV45"	6	3.41666666666667	0.0208333333333333	0.390053647367934	0.390053647367935	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"alternata"
"25"	"FASV51"	3	0.5	0.0196078431372549	0.231106481127799	0.231106481127799	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Penicillium"	"implicatum"
"26"	"FASV60"	6	3.58333333333333	0.0208333333333333	0.366474023565231	0.366474023565231	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymosphaeriaceae"	"Paraphaeosphaeria"	"sporulosa"
"27"	"FASV66"	27	261.583333333333	0.037037037037037	1	1	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Botryosphaeriales"	"Botryosphaeriaceae"	"Macrophomina"	"phaseolina"
"28"	"FASV906"	1	0	0.0188679245283019	0.136195651909137	0.136195651909137	"Fungi"	"Other"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	"iranica"
